ID,Text,Highlights,Tag
85,"Кофе в зернах Espresso купил по акции в гипермаркете по 189 рублей за упаковку 250 грамм. Марка кофе известная. До этого приходилось не раз покупать растворимый кофе этой марки. Сразу после открытия пакета чувствовался чуть горьковатый запах – из-за высокой степени обжарки (4 из 5), хотя в природе и на языке Бариста должно существовать 10 степеней обжарки. Размер зерен практически одинаковый. Кофе получилось со стойкой пенкой. На упаковке имеется газо-затворный клапан.","тон спокойный, без субъективных оценок",Нейтральный
86,"Получили данную кофеварку в подарок. Объём воды заливаемый в устройство сверху хватает только на две чашки вернее кружки, вот чашек наверно 4 как нарисовано на стаканчике куда сливается это дело.
 Главное: кофе получается на любителя. Даже если утрамбуете в рожке молотый кофе его крепость и вкус на уровне разбавленного капучино в дешёвом автомате. Данный аппарат не стоит вообще брать если Вы любите кофе. Растворимый в кружке обладает гораздо насыщенным вкусом. Капучино делать на нём не очень удобно. Обильная паровая струя пенит аж через край. Но это ручной капучинатор и здесь вопрос сноровки и умения. Расход кофе на крепость напитка тоже влияет мало. С начало вроде капает, а потом начинает лить в чашку. В итоге, какая то полупрозрачная жидкость с ароматом зёрен, со вкусом кофейного напитка. Не берите, даже в подарок. Убрал в гараж буду там кипяток производить","получается на любителя, на уровне разбавленного, в дешёвом автомате, не стоит вообще брать, не очень удобно, не берите, даже в подарок",Негативный
87,"Очень доволен покупкой этой кофеварки. Занимает немного места на столе, оптимальная мощность, две сменных разных по размеру ёмкости из нержавейки для установки в рожок дают возможность приготовить большую и маленькую порции кофе ; автоматический капучинатор с оптимальным давлением 15 бар, вместительная ёмкость для воды, возможность готовить в автоматическом или ручном режиме одинарные или двойные порции кофе Эспрессо получается насыщенного вкуса, порции обычные - маленькая 30 мл и двойная 60 мл. Возможно готовить отдельно молочную пенку. Кофе латте готовит прекрасно, но я его люблю меньше, чем капучино, поэтому практически его не делаю. А вот о капучино отдельный разговор : пенка получается шикарная, вкус просто потрясающий ! Главное - подобрать для себя оптимальный сорт кофе.","очень доволен покупкой, оптимальная мощность, дают возможность, с оптимальным, насыщенного вкуса, кофе латте готовит прекрасно, пенка получается шикарная, вкус просто потрясающий",Позитивный
88,"Сегодня очередной обзор средства для мытья посуды с ароматом масла розы. Флакон объемом 900 мл. С обратной стороны флакона указан состав данного моющего средства, адрес производства и прочая информация
 Я был уверен, что данное средство розового цвета. А оказалось оно бесцветное. Имеет аромат розы. Довольно густое по консистенции, неплохо пенится, с грязной посудой справляется. Цена на момент покупки по акции всего 99 рублей","тон спокойный, без субъективных оценок",Нейтральный
89,"От использования жидкого средства для мытья посуды у меня осталось наихудшее впечатление.
 Если лет 5-6 назад, данное средство было более-менее густым, то сейчас оно очень жидкое, льется прямо как вода.
 Пенится, конечно, хорошо. И отмывает посуду от жира. Но! Но отмыть само средство с посуды просто невозможно. Я по 10 раз промываю посуду горячей водой, затем ледяной. А в результате когда беру чистые кастрюли, и наливаю туда воду, на поверхности воды - цветная пленка. Приходится опять сливать воду, промывать посуду, и опять заливать по-новой воду.
 Средство постоянно засыхает на бутылке, на средствах других марок я такого не замечала. Не рекомендую к покупке.","у меня осталось наихудшее впечатление, отмыть само средство с посуды просто невозможно,  не рекомендую к покупке.",Негативный
90,"Я люблю горький и темный шоколад, но периодически покупаю и молочный, особенно если вижу его на скидке. Так получилось с молочным шоколадом.
 Купила плитку, и дома с мужем мы с удовольствием ее съели.
 Обертка осталась прежней, дизайн узнаваем, навевает приятные воспоминания и вызывает добрые ассоциации.
 Состав? Раньше я на него и не смотрела. А сейчас он, по-моему, вполне нормальный. Сам шоколад ароматный, нежный, сладкий. Он приятно тает во рту, обволакивая все рецепторы густым и мягким шоколадно-молочным послевкусием.
 Хороший, вкусный молочный шоколад, мне он очень нравится. Рекомендую.","мы с удовольствием ее съели, навевает приятные воспоминания и вызывает добрые ассоциации, вполне нормальный, ароматный, нежный, сладкий, приятно, хороший, вкусный молочный шоколад, мне он очень нравится, рекомендую",Позитивный
91,"Чай — напиток из специально обработанных и заваренных листьев одноимённого растения.
 Словом «чай» также обозначают готовые для заваривания чайные листья, которые в процессе переработки подвергаются завяливанию, скручиванию, ферментации и сушке.
 В широком смысле чаем может называться любой напиток, приготавливаемый из различных других растительных компонентов, например травяной чай, фруктовый чай, копорский чай (иван-чай), парагвайский чай (мате), каркаде, ройбуш.
 Сырьём для изготовления классического чая являются листья чайного куста, который выращивают в массовом количестве на специальных плантациях. Для произрастания этого растения необходим тёплый климат с достаточным количеством влаги, не застаивающейся у корней. Большинство чайных плантаций располагается на горных склонах в районах с тропическим или субтропическим климатом, в Китае, Индии и Африке.","тон спокойный, без субъективных оценок",Нейтральный
92,"Аномальная жара в Москве закончилась, ей на смену придут мощные непредсказуемые тропические ливни. Дожди будут сопровождаться градом и сильным ветром, порывы которого могут достигать 20 метров в секунду, это создаёт очевидную угрозу. В МЧС предостерегают, в непогоду нельзя укрываться под деревьями и рекламными щитами, также стоит быть аккуратными на дорогах. 
 Грозы не исключены завтра и в среду. Сильные ливни ожидаются также на юге России, в Северо-Западном, Центральном, Сибирском и Дальневосточном федеральных округах. В целом, по словам синоптиков, в ближайшие дни изнурительная жара пойдет на спад, температура вернется к комфортным летним значениям.","мощные непредсказуемые тропические ливни
 создаёт очевидную угрозу
 В МЧС предостерегают
 сильные ливни ожидаются",Нейтральный
93,"Этим летом я провел замечательное время на море, и эти дни стали для меня настоящим праздником, полным солнечных дней, купания и веселья. Отдых на море — это то, чего я с нетерпением ждал весь год, и он оправдал все мои ожидания.
 Мы с семьей отправились на юг, к теплому Черному морю, где мы забронировали уютный домик прямо на берегу. Как только мы приехали, я сразу почувствовал, что впереди нас ждет незабываемое лето. Морской воздух, наполненный ароматом соли и свежести, мгновенно поднял мне настроение. Вид на бескрайнее море, сверкающее под ярким солнцем, просто завораживал. Пляж был просто идеальным — золотистый песок, теплое море и яркое солнце. Я много купался, нырял с маской и ластами, исследуя подводный мир. Отдых на море стал для меня настоящим праздником, который я буду долго вспоминать.","замечательное время, эти дни стали для меня настоящим праздником, с нетерпением ждал, он оправдал все мои ожидания, ждёт незабываемое, мгновенно поднял мне настроение, вид завораживал, был просто идеальный,стал для меня настоящим праздником, я буду долго вспоминать",Позитивный
94,"Что такого особенного в этом масле? Лично я не знаю. Ну, да поджарить на нем мясо можно. Сковородка потом немного замурзана, но отмывается легко. Бутылку можно было бы назвать оригинальной, но только если бы это было подсолнечное масло. Для оливкового такая форма тары и дизайн абсолютно предсказуемы. Да, она удобна, и крышка не пластмассовая, и дозатор обмарать руки не позволит, но все таки, что в нем особенного?
 Сейчас я могу только пожарить на этом масле мясо. Привкуса особого оно блюду не дает, пригореть не позволяет. Совершенно обычное.","можно было бы назвать оригинальной, но, абсолютно предсказуемы, удобна, что в нём особенного, совершенно обычное",Нейтральный
95,"Не знаю как вам, а меня реально напрягает этот мультик. Начали мы его просмотр еще в 2010 году, моя дочка тогда была еще совсем маленькой и не понимала сюжета, но у же тогда не особо смотрела этот мультик, диск мы закинули.
 Когда мы немного подросли, я опять дочке включала наш диск, а иногда попадаются отдельные новые серии и по ТВ. Так моя малышка мне так и заявила: ""Мама, мне такой мультик не нравится! Маша плохая! Она обижает Мишу."" ВСЁ! Больших аргументов мне не нужно. Если трехлетний ребенок понимает, что на протяжении всех серий девочка обижает безобидного Мишу - то этот мультик однозначно ничему хорошему не учит, как бы мило и наивно по-детски это не выглядело","меня реально напрягает, мне не нравится, Маша плохая, она обижает, обижает безобидного, ничему хорошему не учит",Негативный
96,"Оливковое масло Extra Virgin я покупаю для заправки салатов. Нравится мягкий и сбалансированный вкус продукта, его деликатный аромат.
 Производитель поместил масло в элегантную бутылочку темного стекла, под крышкой расположен удобный дозатор.
 Масло обладает приятной плотной текстурой, идеально подходит для заправки салатов, внося в общий вкус блюда пикантную нотку с правильной горчинкой. Покупаю уже не первый раз, буду покупать и дальше.
 Именно разновидность Extra virgin содержит наибольшее количество полезных веществ, не стоит подвергать этот чудесный продукт температурной обработке, для жарки производится другая разновидность оливкового масла.","нравится мягкий и сбалансированный вкус, элегантную бутылочку, удобный, обладает приятной плотной текстурой, идеально подходит, буду покупать и дальше",Позитивный
97,"Черный чай я иногда покупаю. Сейчас дома у меня пачка чая в пакетиках без ярлыка. Картонная упаковка в классическом стиле на 20 пакетиков(общим весом 40 грамм). Пакетики идут без шнурочка.
 Со всех сторон упаковки множество разной информации, которая повторяется и на других видах чая этой марки.
 В состав входит смесь разных чаев: кенийский, индийский, цейлонский черный байховый чаи, что придает вкус чаю. Заваривается обыкновенно, цвет яркий. Вкус, как у всех чаёв. Чай был по акции, поэтому если соотнести цена-качество, то нормально","в классическом стиле, обыкновенно, как у всех, то нормально",Нейтральный
98,"Начну с того что данная фирма чая теряет своих любителей, так как перестала следить как за качеством так и ""левым"" производством. Про цену я уже и не говорю, за эти деньги можно взять хороший цейлонский фирменный чай. Вспоминая первые коллекции, пусть цена тогда и была слишком дорогая, качество оправдывала ее. Привожу пример не качественности чая - при повторной заварке нет ни вкуса не запаха, хотя настоящий чай можно заваривать три раза. А про остаток краски на кружке лучше молчать( не путайте чайное масло с красителем), чайное масло легко смыть водой, а краску надо хорошо оттереть и после высыхания если ее потереть она остается кристалликами на пальцах. Не обманывайте себя чаем низкого качества!","теряет своих любителей, перестала следить как за качеством, пример не качественности чая, нет ни вкуса не запаха, не обманывайте себя чаем низкого качества",Негативный
99,"Решила попробовать шоколад ""Особый"", мне понравился. Это вкусный тёмный шоколад с хорошим составом и вкусом, особенно он хорош после холодильника. Поэтому увидев в магазине выгодную акцию на этот шоколад, я решила купить его сразу побольше.
 Этот шоколад понравился мне тем, что он:
  1) вкусно пахнет, так ненавязчиво, деликатно 2) не очень сладкий 3) не крошится при отламывании кусочков 4) не вязнет в зубах 5) не оставляет приторного послевкусия.
 В общем, этот шоколад как нельзя лучше воздействовал на меня, привел в чувство и порадовал вкусом!","мне понравился, это вкусный тёмный шоколад, он хорош, понравился мне, вкусно пахнет, невязнет как нельзя лучше воздействовал на меня, привел в чувство и порадовал вкусом",Позитивный
100,"Мне почему-то захотелось написать отзыв о молоке торговой марки ""Простоквашино"". Это касается продукта ""топленое молоко"". Захотелось мне как-то молока топленого, ну как того, из печки, деревенского. Ну, а тут реклама на весь экран телевизора поспособствовала моей покупке. Откровенно говоря, оно мне не понравилось изначально - не устроил перво-наперво вкус. На вид вроде бы красивого светлого коричнево-желтого оттенка, а вот вкус и запах оставляли желать лучшего. Посмотрела на дату выпуска и сроки хранения, вроде бы все в норме, а на вкус - ну вода-водой, даже запаха молочного не присутствовало. Стоит в холодильнике тоже очень долго, даже не скисается, только запах потом издает страшный. ... пахнет белизной. Как потом оказалось, ее обычно и добавляют с молоко, чтобы дольше не скисалось, а тут видимо переборщили с нужной концентрацией... В общем, так мы его и не пили даже, вылили в унитаз. С тех пор я продукты этой торговой марки не покупаю...","не понравилось изначально, не устроил, вкус и запах оставляли желать лучшего, запах потом издает страшный, я продукты этой торговой марки не покупаю",Негативный
101,"Очень удобное место ,всегда чисто ,врачи вежливые ,всегда принемают по времени,все четко ,нет очередей,уже год хожу к эндокринологу Бей Ирине Владимировне , очень чуткий доктор ,подобрала лекарства ,наблюдаю щетовидку- тиреотоксикоз,еще хочу выделить гастроэнтеролога Дергач Наталья Владимировна,все доходчиво говорит,подбирает лекарства,мне очень нравятся культурные спокойные врачи!!!","Очень удобное , вежливые, все четко, очень чуткий, все доходчиво говорит, мне очень нравятся",Позитивный
102,"Хорошая клиника. В клинике чисто и уютно есть все специалисты, можно пройти все обследования, вежливый персонал. Прием по предварительной записи без задержек. Была на приеме у врача травматолога ортопеда Вилкова Д.А. Очень внимательный , квалифицированный и хороший врач. Отличный специалист своего дела.Всем рекомендую обращаться к нему со своими проблемами. Недостатки: невозможно по телефону договориться о времени консультации врачей. Приходится приходить в клинику и записываться на прием на медицинские услуги, тратится драгоценное время.Есть автомат автоответчик по телефону, но записать по нему невозможно","Хорошая, чисто и уютно, вежливый персонал, Прием без задержек, Отличный специалист своего дела, Всем рекомендую, Недостатки, невозможно по телефону договориться, Приходится, тратится драгоценное время",Нейтральный
103,"С 2017 года посещаем данную клинику. В ней наблюдаются 2 ребёнка. Для меня, как для взрослого, эта клиника палочка выручалочка. Наконец-то сделали по человечески хол с раздевалкой. По администраторам - на кого нарвёшся. Кто-то более лоялен, т.к. хорошо подкован. А вот кто-то тупит, и часто оказывается не прав. Лучше уточняйте у сиаршего персонала. Что касается врачей, конечно тут всё очень индивидуально и зависит от самого врача, как от человека. Отличные педиаторы. Отдельно хочу выразить благодарность терапевтам.","палочка выручалочка, Наконец-то сделал по человечески, на кого нарвёшся, кто-то тупит, часто оказывается не прав, хочу выразить благодарность",Нейтральный
104,"Хочу выразить огромную благодарность Медси в Красногорске, нейрохирургическому отделению. Делала операцию у Ширшова Ильи Александровича, осталась очень довольна. Хочется поблагодарить старшую медсестру отделения- Юрченко Екатерину Владимировну, медицинских сестёр и младший медперсонал- за внимание, заботу, душевное отношение. Хочется пожелать процветания и здоровья! Спасибо!","огромную благодарность, осталась очень довольна, Хочется поблагодарить, за внимание, заботу, душевное отношение, пожелать процветания и здоровья, Спасибо!",Позитивный
105,"Давно посещаем данную клинику. Последнее время прекратили свои посещения. Были с ребенком у офтальмолога, Пановой Анны Сергеевны. Очень надменный врач. Нет желания прийти ещё раз на прием. Анна Сергеевна, зная,что мы пришли по ДМС,не согласовывая со страховой,выставила счёт, на подбор очков. Конечно счёт оплатили. Пришлось самим обратиться в страховую для уточнения ситуации. Страховая была очень сильно удивлена,что врач самостоятельно принимает решение и не вникает в программу страховки. Следующая ситуация, нужно было сделать плановую прививку. Опять обратились в данную клинику. Педиатр тоже решил,что за прививку мы должны оплатить наличными. Когда приехали в центр Москвы,в ту же компанию Медси,то без проблем сделали прививку по ДМС. У Медси Красногорск очень странная политика. Страховка для них ничего не значит,платите только наличные. Данную клинику для посещения больше не рассматриваем.","Очень надменный , Нет желания прийти, не вникает , странная политика, больше не рассматриваем",Негативный
106,"Хочу выразить огромную благодарность врачу флебологу ФИО. Всё объяснил, рассказал подробно, побольше бы таких ответственных, приятных врачей. Рекомендую 100%.","огромную благодарность, рассказал подробно, побольше бы таких ответственных, приятных врачей, Рекомендую 100%",Позитивный
107,"Обслуживаюсь в клинике несколько лет. Ни одной претензии к врачам. Но что ж вы никак работу администраторов за это время отладить не можете? Заплатить за прием вы будете ждать дольше, чем длился сам прием! Сегодня бонус - вышла от врача, ура! нет очереди у регистратуры, хотя всех посылают в другой отдел решепшен у аптеки. Не пошла, подошла к окну - озвучила непреодолимое желание заплатить за прием. В ответ - ""Ждите"". Жду, пока регистратор Ирина И. попереписывается в своем телефоне. Не отвлекаю, видимо,личные вопросы на работе важнее рабочих. 5 минут! после чего мне говорят - терминал не работает и я занята. Уточняю: Терминал не работает или вы личными вопросами заняты?"". Была послана в другую регистратуру. Обошла 3 - на всех табличка ""Не работает"". Идите вы на фиг с таким сервисом, я 5 минут была у врача, и чтобы за эти 5 минут заплатить 3200, пробегала ещё 20 минут. На фига? Платная медицина для меня умерла именно в этот момент. За те же 25 минут я и бесплатную получить могла бы. Время - самый ценный ресурс, и эта ""клиника"" убила надежды об экономии времени на медицине. Это не первый случай, раньше терпела, теперь закрыла для себя и этот адрес и эту клинику","отладить не можете, Ждите, личные вопросы на работе важнее рабочих, я занята, Была послана, Не работает, Идите вы на фиг , На фига?, умерла именно в этот момент, ""клиника"" убила надежды, не первый случай, раньше терпела",Агрессивный
108,"Большой театр — место с историей и атмосферой, но комфорт, увы, не всегда на высоте. Посетили спектакль, впечатление от постановки — сильное, актёры, музыка, зал — всё на уровне, как и ожидаешь от такой сцены. Но вот с организацией пространства для зрителей возникли сложности. Если ты не на первом ряду, видимость сцены сильно страдает — сиденья расположены строго друг за другом без подъёма, и когда впереди кто-то выше ростом, остаётся либо тянуться, либо смотреть стоя. Удивительно, что во время ремонта не учли этот момент — хотя бы небольшой наклон рядов решил бы проблему. Совет: выбирайте места в первых рядах или по центру — иначе рискуете упустить половину сцены.","комфорт, увы, не всегда, всё на уровне, Но вот, сильно страдает, Удивительно, решил бы проблему, Совет, иначе рискуете",Нейтральный
109,"Посчастливилось посетить балет Дон Кихот. Постановка , музыка , хореография - недосягаемая высота. Артисты балета все фактурные, красивые. Движения отрепетированные , прыжки - наивысший пилотаж, амплитуды запредельные. Не единой помарки. Музыкантам - браво ! Выкупаем билеты на официальном сайте Большого. Проблем со входом нет, обязательно нужно предоставлять удостоверение личности , сверяют с данными в билете. Вход как в аэропорту через рамку , сумки и вещи досматривают , сканируют. Советую посетить на 3 этаже красный зал и выставку. Буфеты отличные. Покупали игристое вино и бутерброды с рыбой и икрой, качество еды на уровне. Цены приемлимые. Советую покупать первые ряды любого яруса. Видимость отличная. Балет смотрели с 3 яруса , места по центру. Весь рисунок танца просматривается идеально. Звук обволакивает. Впечатления от посещения незабываемые. Эмоций хватает на долгое время. Однозначно стоит своих денег.","Посчастливилось, недосягаемая высота, все фактурные, красивые, наивысший пилотаж, амплитуды запредельные, Не единой помарки, браво, Проблем со входом нет, Советую посетить, Буфеты отличные, качество еды на уровне, Цены приемлимые, Видимость отлична, Впечатления от посещения незабываемые, Эмоций хватает на долгое время, Однозначно стоит своих денег.",Позитивный
110,"Недавно посетил театр, и остался под впечатлением! Атмосфера была потрясающей, а постановка — захватывающей. Актеры сыграли на высшем уровне, передав все эмоции и нюансы. Интерьер театра очень красивый и уютный, что добавляет особый шарм. Обслуживание также на высоте — вежливый персонал и комфортные условия. Рекомендую всем любителям театра! Обязательно вернусь снова!","остался под впечатлением, была потрясающей, захватывающей, сыграли на высшем уровне, очень красивый и уютный, Обслуживание также на высот, вежливый персонал, комфортные условия, Рекомендую всем",Позитивный
111,"Очень расстроены, на моменте покупки билетов. Пока стояли в очереди, были удивлены манерой общения кассира с покупателями. Абсолютная бестактность! Минуточку..... ВЫ лицо Театра, а значит лицо Москвы. И вот очередь дошла до нас История у нас печальная весьма. 6 июня покупали в кассе Театра билеты на Весна Священная. Но как выяснилось уже дома, вместо Весны Священной нам продали билеты на Петрушку! Цена за два билета 18000 руб. В итоге, когда мы пришли в кассу для замены билета, нам отказали. Возврат денежных средств предложили со штрафом 70%, мотивируя это тем, что полный возврат только за 10 дней. Как это возможно, если мы покупали билеты 6 июня, а сеанс 13 июня?! Ну как?? Какой-то шлейф мошенничества! А если бы мы обнаружили халатность кассира сразу же, при покупке, нам бы тоже заявили что меньше 10 дней , и штрафные 70% ?? Менеджер и кассир разговаривают безобразно! Знаете, дело даже не в деньгах! Очень грустно, что придя в такое мощное , красивое место, придя в Храм искусства , сталкиваешься с таким бюрократизмом и хабальством! Не стали мы с ними спорить, ушли с грузом на Душе. Без возврата средств и без билета на долгожданный показ. Очень горько и больно! Позор вам!","Очень расстроены, были удивлены манерой общения, Абсолютная бестактность, История у нас печальная весьма, нам отказали, Возврат денежных средств предложили со штрафом, Как это возможно, шлейф мошенничества, обнаружили халатность , разговаривают безобразно, Очень грустно, сталкиваешься с таким бюрократизмом и хабальством, ушли с грузом на Душе, Очень горько и больно! , Позор вам!",Негативный
112,"07.07. ""Стравинский-гала"" начался с 55- минутным ( !) опозданием. Зрители, простите, как овцы, толпились в душных фойе.... И даже не сочли нужным принести извинения перед концертом за столь длительные мытарства зрителей... Позорище!","опозданием, простите, как овцы, толпились, не сочли нужным принести извинения , столь длительные мытарства зрителей, Позорище!",Негативный
113,"Ходила на Кармен 10 июня, но отзыв на саму оперу не могу оставить, потому что купив билет на ПЕРВЫЙ ряд, оперу я не посмотрела. В зале появились два литерных ряда, т.е. первый ряд по факту стал третим! Передо мной сидело семейство из пяти человек, каждый размером с гору, которые пришли по пригласительным билетам, и я, человек ростом 1,60 и купившая билет на 1 ряд за 10 тыс рублей, чтобы увидеть нормально сцену в итоге оперу только слушала, но не смотрела ( как планировала), потому что впереди меня оказалась лысая гора( в антракте я подошла к сотруднице, спросила, а вот когда такая ситуация, я реально вижу только треть сцены и это с первого ряда(!!!), спросила могут ли меня пересадить, мне ответили, что только на 17 ряд. Ну что ж, спасибо и прощай Большой театр… Уменьшили оркестровую яму, количество музыкантов видимо тоже, увеличили количество рядов, тесно, народу полно, плохо пахнет, дышать в зале нечем, публика по приглашениям такая: кто-то разваливших дремлет, кто-то шуршит, в телефон смотрит и снимает оперу на него. Одном словом от той атмосферы, от того театра, в который я ходила с огромным удовольствием остались только стены. Жаль!","Передо мной сидело семейство , каждый размером с гор, впереди меня оказалась лысая гора, спасибо и прощай, тесно, народу полно, плохо пахнет, дышать в зале нечем, кто-то разваливших дремлет, кто-то шуршит, остались только стены, Жаль!",Негативный
114,"Большой театр, что происходит? Лоббисты дружбонародов и вас прогнули? Дни культуры таджикистана в Большом театре? Чайковский в гробу перевернулся. Дальше ждем фестиваль плова и дня спелого кабачка? Остановитесь, пока не поздно!","что происходит?, Лоббисты дружбонародов и вас прогнули?, Чайковский в гробу перевернулся, Дальше ждем фестиваль плова и дня спелого кабачка?, Остановитесь, пока не поздно!",Агрессивный
115,"Хочу от лица многих зрителей и любителей балета, попросить убрать со сцены дочку Шувалова и перестать позорить российский балет и всех, кто к нему имеет какое либо отношение!!! Спасибо","попросить убрать со сцены дочку Шувалова, перестать позорить российский балет",Агрессивный
116,"Купила билеты маме на день рождения, два, надеялась, пойти с ней, но в силу обстоятельств -нет возможности, позвонила в театр насчет возврата или переоформления на мужа- отказали, сказали не позднее 10 дней. Теперь 12000- коту под хвост и мама должна идти одна и расстраиваться, так как билет именной, теперь они покупаются по паспорту. Я понимаю, что театры стараются бороться со спекулянтами, но надо как-то по другому решать эти вопросы! Разные бывают обстоятельства. Разве можно вот так кидать людей, это большая сумма. Нахожу в совершенном шоке, от того, что такое вообще может быть, что ничего нельзя сделать с билетом, уж тем более никак не могла ожидать такого от Большого театра. Мой совет, сто раз подумайте, прежде чем купить билет и вообще отпадает желания идти в такие места, где совершенно безразличное отношение к людям, отписки по почте и тд. И это в сфере культуры","нет возможности, отказали, коту под хвост, мама должна идти одна и расстраиваться, надо как-то по другому решать эти вопросы!, Разные бывают обстоятельства, Разве можно вот так кидать людей, Нахожу в совершенном шоке, от того, что такое вообще может быть, что ничего нельзя сделать, Мой совет, сто раз подумайте, прежде чем , вообще отпадает желания идти, совершенно безразличное отношение к людям, отписки",Негативный
117,"ООО Управление и эксплуатация недвижимости ""Эталон"" было направлено обращение через секретаря от 25.02.2025 г вх 748-УЭН ЖК Изумрудные Холмы, проживающий по адресу Бульвар космонавтов дом 7 собственник. Ответов нет и хамство ! Звонки с +7495 280 38 62 Ленспецстрой решают вопросы УК Эталон ? Дозвониться или получить ответ или какую информацию в УК Эталон невозможно. Ходил в УК эталон отнести обращение не пустили к стойке информации и охранник толкнул что бы закрыть дверь . Федеральный закону №181-ФЗ ""О социальной защите инвалидов УК Эталон не знает и пытается переложить свою ответственность на кого угодно только виноваты не они :)","Ответов нет и хамство !, Дозвониться или получить ответ или какую информацию в УК Эталон невозможно, не пустили к стойке , охранник толкнул что бы закрыть дверь, Федеральный закону №181-ФЗ ""О социальной защите инвалидов УК Эталон не знает, пытается переложить свою ответственность на кого угодно",Негативный
118,"Отвратительное отношение к собственникам, очень раздутое чувство собственной значимости помноженное на полную импотенцию! Не один вопрос не могут решить, игнор полный, классическая УК в вашем негативном воображении! Все самое худшее в одном месте, это Эталон наплевательского отношения к вам!!!","Отвратительное отношение, очень раздутое чувство собственной значимости помноженное на полную импотенцию, Не один вопрос не могут решить, игнор полный, классическая УК в вашем негативном воображении, Все самое худшее в одном месте, наплевательского отношения к вам!!!",Агрессивный
119,"Сантехник не обговаривает срок, когда он выполнит заявку. Заявка 23382030. Время не согласовывает. На контакт не выходит. Перекрыли холодную воду, ограничились устной рекомендацией. Рекомендуют решить самостоятельно. Не решив проблему сказали, что закроют заявку сами. Согласуйте время будьте добры и решите пожалуйста вопрос","не обговаривает срок, Время не согласовывает, На контакт не выходит, Не решив проблему сказали, будьте добры и решите пожалуйста вопрос",Нейтральный
120,"Компания ужасная, электрик за 2.500 тыщ за просрочку в 10 дней приходит и отрубает молчком в пятницу электричество. А учит их этому главный инженер хохол Ив. Подловательно как как то)) так ведь?","Компания ужасная, отрубает молчком в пятницу электричество, главный инженер хохол, Подловательно как как то)) так ведь?",Агрессивный
121,"Хожу на фитнес в данный клуб уже четвёртый год. В основном на групповые занятия, но иногда посещаю тренажеры. Тренеры очень нравятся, всегда подскажут и ответят на все интересующие вопросы. Внимательны абсолютно ко всем, в особенности, когда приходят новенькие. Админы на ресепшене доброжелательные. Менеджеры не всегда на связи,","очень нравятся, подскажут и ответят, Внимательны абсолютно ко всем, Админы на ресепшене доброжелательные, Менеджеры не всегда на связи",Нейтральный
122,"В Энерго хожу уже больше двух лет, перебрался из другого зала, потому что здесь поближе к дому. В зале есть все необходимые тренажёры, чтобы поддерживать свою форму или сделать новую). Так же есть бассейн и даже детский, хамам сауна и зона спа. Выдают полотенца, а в раздевалке есть даже пакетики для плавок))) Персонал отзывчивый, менеджеры приветливые и всегда готовы решить любые вопросы (гостевых визитов, например, варианты посещений, скидок и так далее). В общем и целом рекомендую данный клуб","хожу уже больше двух лет, перебрался из другого, здесь поближе к дому, В зале есть все необходимые тренажёры, а в раздевалке есть даже пакетики, Персонал отзывчивый, менеджеры приветливые , всегда готовы решить любые вопросы, В общем и целом рекомендую",Позитивный
123,"Информация про бассейн здесь не соответствует действительности. Заявленная цена посещения занижена в 5 раз, во всяком случае об этом сообщил менеджер.","не соответствует действительности, Заявленная цена посещения занижена",Нейтральный
124,"Три года назад было лучше ! Если вы хотите отдыхать в фитнесе допустим поплавать спокойно , даже не надейтесь будите слушать детский ор и визг, брызги и вам повезёт что вам на голову не прыгнут!!! Выйти с сухой головой редкое везение! Отовсюду дует по углам бассейна холодным воздухом ! Волосы на полу смываешь с тапочек! Фен с шубой на обратной стороне , тошнотворно! Очень душно в раздевалке ,сложно переодеваться и не вспотеть! Позор для клуба такого уровня за какие он берёт на малые деньги! Розетку которую всё не как не могут починить всем плевать подходила говорила менеджеру! 1 вентилятор который не справляется сделать более комфортно чтоб не было дикой духоты! А так же списание тренировки без её проведения в случае если вы единственный раз в жизни перепутали время! Меркантильные правила клуба что сказать ещё","Три года назад было лучше, даже не надейтесь, будите слушать детский ор и визг, брызги и вам повезёт что вам на голову не прыгнут!!!, Отовсюду дует по углам , Фен с шубой на обратной стороне , тошнотворно!, Очень душно в раздевалке ,сложно переодеваться и не вспотеть!, Позор для клуба такого уровня, Розетку которую всё не как не могут починить, всем плевать, Меркантильные правила клуба, что сказать ещё",Агрессивный
